payer_alias_id,canonical_payer_id,example_raw_payer_name,clean_payer_name,match_scope,canonical_state,validation_status,review_status,reviewed_by,reviewed_at,active,evidence_source,evidence_url,notes
pa_aetna,aetna,Aetna,aetna,global,NA,manual_exact,accepted,initial_seed,2026-05-27,true,aetna_facts,https://www.aetna.com/about-us/aetna-facts-and-subsidiaries/aetna-facts.html,Bare Aetna payer value maps to unknown product unless reviewed plan context identifies commercial Medicare Medicaid network workers comp or funding product.
pa_ambetter,ambetter,Ambetter,ambetter,global,NA,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pa_amerigroup,amerigroup,Amerigroup,amerigroup,global,NA,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pa_alliant,alliant,Alliant,alliant,global,NA,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pa_allcare_medicare,allcare_health,AllCare Medicare,allcare medicare,global,NA,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pa_alignment_health_plan,alignment_health_plan,Alignment Health Plan,alignment health plan,global,NA,source_verified,accepted,codex_research,2026-05-29,true,alignment_health_plan,https://www.alignmenthealthplan.com/,Observed Alignment Health Plan payer value maps to broad Alignment Health Plan Medicare Advantage identity.
pa_american_health,american_health_holding,AMERICAN HEALTH,american health,global,NA,source_verified,accepted,codex_research,2026-05-29,true,american_health_holding,https://www.americanhealthholding.com/ourdifference/,Observed American Health payer value maps to American Health Holding medical management identity.
pa_atrio_health,atrio_health,ATRIO Health,atrio health,global,NA,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
pa_anthem_ca,anthem_blue_cross_california,Anthem,anthem,state,CA,source_verified,accepted,initial_seed,2026-05-28,true,anthem_ca_about,https://www.anthem.com/ca/about,State-scoped California Anthem alias maps to unknown product unless plan context identifies commercial exchange Medi-Cal or Medicare Advantage.
pa_anthem_bcbs_wi,anthem_bcbs_wisconsin,Anthem Blue Cross Blue Shield Wisconsin,anthem blue cross blue shield wisconsin,global,NA,source_verified,accepted,initial_seed,2026-05-28,true,anthem_about,https://www.anthem.com/about,Observed full Anthem Wisconsin Blues payer value maps to unknown product unless plan context identifies commercial Medicaid Medicare Advantage or FEP.
pa_bcbs_ga_generic,bcbs_georgia,BCBS,bcbs,state,GA,source_verified,accepted,initial_seed,2026-05-28,true,bcbs_licensee_list,https://www.bcbs.com/about-us/blue-cross-blue-shield-system/state-health-plan-companies,State-scoped Georgia generic BCBS payer value with Anthem HMO PPO plan context maps to the Georgia Anthem BCBS commercial bucket.
