payer_context_rule_id,source_canonical_payer_id,source_clean_payer_name,plan_pattern,match_type,match_scope,match_state,priority,market_segment,program_type,product_or_network_name,subsidiary_or_brand,benefit_line,funding_arrangement,context_state,plan_type,context_confidence,validation_status,review_status,reviewed_by,reviewed_at,active,evidence_source,evidence_url,notes
pcr_aetna_all_commercial,aetna,aetna,all commercial plans,exact_clean,global,,50,commercial,,,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,aetna_facts,https://www.aetna.com/about-us/aetna-facts-and-subsidiaries/aetna-facts.html,Plan text explicitly groups all commercial plans under Aetna. Confidence medium because it is hospital-reported catch-all commercial text.
pcr_aetna_auto_network,aetna,aetna,auto network,exact_clean,global,,50,workers_comp,workers_comp_auto,,,,,,,medium,inferred_from_pattern,accepted,initial_seed,2026-05-27,true,secondary_awca_archive,https://www.claimsjournal.com/news/national/2005/10/05/60437.htm,Explicit auto network plan text under Aetna maps to the casualty workers comp bucket. Confidence medium.
pcr_aetna_awh,aetna,aetna,awh,exact_clean,global,,50,commercial,,aetna_whole_health,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_whole_health,https://www.aetna.com/insurance-producer/aetna-whole-health.html,AWH is treated as Aetna Whole Health only under Aetna payer context. Confidence medium due to abbreviation risk.
pcr_aetna_better_health,aetna,aetna,^aetna better health( adult| pediatric)?$,regex,global,,50,medicaid_managed_care,medicaid_mco,,aetna_better_health,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_better_health,https://www.aetnabetterhealth.com/,Plan text names Aetna Better Health without a state-specific cue. Regex avoids overlapping state-specific Better Health rules. Confidence high for Medicaid brand but state remains unresolved.
pcr_aetna_better_health_va,aetna,aetna,^aetna better health of virginia$,regex,global,,50,medicaid_managed_care,medicaid_mco,,aetna_better_health,,,VA,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_better_health_va,https://www.aetnabetterhealth.com/virginia/index.html,Plan text names the Virginia Aetna Better Health state Medicaid plan. Regex avoids overlapping the Virginia Medicare D-SNP rule. Confidence high.
pcr_aetna_better_health_va_dsnp,aetna,aetna,better health of virginia medicare,plan_contains,global,,5,medicare_advantage,dsnp,,aetna_better_health,,,VA,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_better_health_va_dsnp,https://www.aetnabetterhealth.com/content/dam/aetna/medicaid/virginia-dsnp/pdf/H1610_2025_H1610_001V1_M-1.pdf,Plan text names Aetna Better Health of Virginia plus Medicare so map to the Virginia D-SNP bucket. Confidence high.
pcr_aetna_commercial_named,aetna,aetna,aetna commercial,plan_contains,global,,50,commercial,,,,,,,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,aetna_facts,https://www.aetna.com/about-us/aetna-facts-and-subsidiaries/aetna-facts.html,Plan text explicitly identifies Aetna commercial coverage. Generic HMO PPO EPO labels alone remain Aetna unknown product. Confidence high.
pcr_aetna_funding_advantage,aetna,aetna,aetna funding advantage,plan_contains,global,,50,commercial,,aetna_funding_advantage,,,level_funded,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_funding_advantage,https://www.aetna.com/content/dam/aetna/pdfs/aetnacom/employers-organizations/afa/sg_afa_ok_standard_grid_0LXR_ER_options_100122.pdf,Plan text names the Aetna Funding Advantage self-insured employer product. Confidence high.
pcr_aetna_mcr_compact,aetna,aetna,^mcr(hmo|ppo|pos)$,regex,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,inferred_from_pattern,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare/compare-plans-enroll/find-plans.html,Compact MCRHMO MCRPPO and MCRPOS plan labels under Aetna are Medicare Advantage plan-type cues. Confidence medium.
pcr_aetna_medicare_advantage,aetna,aetna,medicare advantage,plan_contains,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare/compare-plans-enroll/benefits-medicare-advantage-plan.html,Medicare Advantage plan text under Aetna maps to Aetna Medicare Advantage. Confidence high.
pcr_aetna_medicare_managed_care,aetna,aetna,medicare managed care plan,plan_contains,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare/compare-plans-enroll/benefits-medicare-advantage-plan.html,Medicare managed care plan text under Aetna maps to Aetna Medicare Advantage. Confidence high.
pcr_aetna_medicare_named,aetna,aetna,aetna medicare,plan_contains,global,,50,medicare_advantage,medicare_advantage,,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_medicare,https://www.aetna.com/medicare.html,Aetna Medicare plan text maps to Aetna Medicare Advantage for negotiated-rate analysis. Confidence high.
pcr_aetna_tn_preferred,aetna,aetna,aetna tn preferred,plan_contains,state,TN,10,commercial,,aetna_tennessee_preferred,,,,TN,,medium,manual_alias,accepted,initial_seed,2026-05-27,true,provider_context,https://www.vanderbiltbedfordhospital.com/insurance-plans-professional-services,Observed Tennessee Aetna preferred network label. State scoped to reduce false positives. Confidence medium.
pcr_aetna_vhan,aetna,aetna,aetna vhan,plan_contains,global,,50,commercial,,aetna_vhan,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,vhan_health_plans,https://www.vhan.com/i-am/health-plans/,Aetna VHAN plan text maps to the Vanderbilt Health Affiliated Network contracting bucket. Confidence high.
pcr_aetna_whole_health,aetna,aetna,aetna whole health,plan_contains,global,,50,commercial,,aetna_whole_health,,,,,,medium,source_verified,accepted,initial_seed,2026-05-27,true,aetna_whole_health,https://www.aetna.com/insurance-producer/aetna-whole-health.html,Aetna Whole Health plan text maps to Aetna Whole Health commercial accountable-care network product. Confidence high.
pcr_aetna_workers_comp,aetna,aetna,workers' compensation network,exact_clean,global,,50,workers_comp,workers_comp_auto,,,,,,,medium,inferred_from_pattern,accepted,initial_seed,2026-05-27,true,secondary_awca_archive,https://www.claimsjournal.com/news/national/2005/10/05/60437.htm,Explicit workers compensation network plan text under Aetna maps to workers comp bucket. Confidence medium.
pcr_alias_allcare_medicare,allcare_health,allcare medicare,allcare medicare,payer_name,global,,60,medicare_advantage,medicare_advantage,,,,,,,medium,manual_exact,accepted,initial_seed,2026-05-25,true,manual_review,,Exact observed payer value.
